station_id,station_name,coord1_name,coord2_name,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,distance_km
466940,基隆,,,25.135104,121.732242,25.133314,121.740475,852.3523554154604,0.8523523554154604
466900,淡水,,,25.166664,121.440672,25.164889,121.448906,851.8537871195706,0.8518537871195706
466881,新北,,,24.96099,121.516977,24.959207,121.525196,851.9437739333181,0.8519437739333181
466930,陽明山,,,25.163858,121.536313,25.162078,121.544547,852.0013372025751,0.8520013372025751
466910,鞍部,,,25.184365,121.521495,25.182586,121.529731,852.0356815101336,0.8520356815101336
467571,新竹,,,24.830335,121.006343,24.828575,121.01445,841.2094286955212,0.8412094286955212
467490,臺中,,,24.147494,120.675919,24.145736,120.684075,850.3274555496521,0.8503274555496521
C0FA30,梧棲,,,24.257753,120.515211,24.256003,120.523381,850.8085300708267,0.8508085300708267
467350,澎湖,,,23.56722,119.554987,23.565503,119.563094,848.0442974947536,0.8480442974947535
467650,日月潭,,,23.883099,120.899911,23.881325,120.90805,850.7136352122825,0.8507136352122825
467530,阿里山,,,23.509984,120.805129,23.508208,120.813242,850.4903385071784,0.8504903385071784
467550,玉山,,,23.488964,120.951318,23.48718,120.95943,850.7265115465669,0.850726511546567
467480,嘉義,,,23.497684,120.424796,23.495925,120.432906,849.8307934759542,0.8498307934759542
467410,臺南,,,22.995039,120.196846,22.99328,120.20492,849.2832813532755,0.8492832813532755
467441,高雄,,,22.732201,120.304459,22.730432,120.312516,849.4006317492531,0.8494006317492531
467590,恆春,,,22.0057,120.738326,22.003897,120.746339,850.0770576443551,0.8500770576443551
467080,宜蘭,,,24.765773,121.748322,24.763975,121.756528,852.3302143584895,0.8523302143584894
466990,花蓮,,,23.976933,121.605126,23.975128,121.613275,851.9227706779725,0.8519227706779725
467610,成功,,,23.099296,121.36534,23.097486,121.373428,851.3772872547127,0.8513772872547126
467660,臺東,,,22.754017,121.146522,22.752211,121.154586,850.9322844323527,0.8509322844323527
467540,大武,,,22.357523,120.895703,22.35572,120.90374,850.4682629543896,0.8504682629543896
467620,蘭嶼,,,22.038737,121.55041,22.0369,121.55843,851.4901262124572,0.8514901262124572
466950,彭佳嶼,,,25.629774,122.071474,25.627975,122.079744,852.8991888563762,0.8528991888563762
467300,東吉島,,,23.258999,119.659533,23.25727,119.66762,848.2324485774169,0.8482324485774169
469020,南沙島,,,10.372116,114.356938,10.370203,114.364286,831.3843918845989,0.8313843918845989
468100,東沙島,,,20.70252,116.722116,20.700856,116.73,840.672701241261,0.840672701241261
467420,永康,,,23.040146,120.228623,23.038386,120.2367,849.3386951774828,0.8493386951774828
C2W030,金門(東),,,24.450074,118.443627,24.448431,118.451786,845.8509901254291,0.8458509901254291
466920,臺北,,,25.039439,121.506628,25.037658,121.514853,851.9656222874659,0.8519656222874659
A0G720,彰師大,,,24.08314,120.548508,24.081389,120.556667,850.8504144499256,0.8508504144499256
A0Z080,合歡山,,,24.144972,121.276071,24.143186,121.284231,851.4592358310136,0.8514592358310137
A0W080,吉貝,,,23.741712,119.596041,23.740011,119.604189,850.6400504938464,0.8506400504938464
467110,金門,,,24.408942,118.281127,24.407306,118.289281,845.4518065995753,0.8454518065995753
467990,馬祖,,,26.171145,119.914855,26.169467,119.923158,849.3540611975934,0.8493540611975934
A0K420,麥寮,,,23.800517,120.209572,23.798783,120.217717,850.8012328005229,0.8508012328005229
467050,新屋,,,25.008484,121.039271,25.006725,121.047492,851.2113507838827,0.8512113507838828
A2K570,古坑(花卉中心),,,23.6353,120.54428,23.63353,120.55239,849.2707708719965,0.8492707708719965
CAAH60,大安森林,,,25.031331,121.528056,25.02955,121.53628,851.9208972816576,0.8519208972816577
CAHA00,消防署訓練中心,,,23.82313,120.7148,23.82137,120.72293,849.8358252346649,0.8498358252346648
467270,田中,,,23.875561,120.573149,23.873803,120.581286,850.1518061979551,0.8501518061979552
CAC040,拉拉山,,,24.7011,121.418933,24.699317,121.427133,851.7700666734537,0.8517700666734537
CAW010,東引,,,26.360539,120.475308,26.358836,120.483631,850.5951777622031,0.8505951777622031
CAP070,高雄燈塔,,,22.616364,120.256631,22.614594,120.26468,849.3067843002983,0.8493067843002983
A0F010,武陵,,,24.354609,121.300112,24.352825,121.308286,851.4606149950365,0.8514606149950366
467280,後龍,,,24.650318,120.823641,24.648563,120.831834,850.690464079099,0.850690464079099
