統計項目,數值,單位
測站總數,336,個
平均距離,850.1229027454991,公尺
中位數距離,850.7583048869725,公尺
最小距離,670.0300348331018,公尺
最大距離,962.8133899648346,公尺
標準差,12.95662930643981,公尺

分位數,距離,單位
25%,849.8270611277144,公尺
50%,850.7583048869725,公尺
75%,851.2610147002351,公尺
90%,852.1363487414011,公尺
95%,852.4374686456403,公尺
99%,877.0298551401957,公尺

距離分類,測站數量,百分比
< 100公尺,0,0.0%
100-500公尺,0,0.0%
500-1000公尺,336,100.0%
1-5公里,0,0.0%
> 5公里,0,0.0%

差距最大的前10個測站
排名,測站名稱,距離(公尺),距離(公里)
1,甲仙,962.81,0.963
2,馬頭山,887.44,0.887
3,國五N008K,884.77,0.885
4,瑞芳,877.03,0.877
5,龍溪,864.62,0.865
6,福山,863.79,0.864
7,火燒寮,859.29,0.859
8,鹿港,858.16,0.858
9,安南,857.80,0.858
10,八德蔬果,855.43,0.855

差距最小的前10個測站
排名,測站名稱,距離(公尺),距離(公里)
1,新竹,841.21,0.841
2,東沙島,840.67,0.841
3,新埔工作站,836.58,0.837
4,南沙島,831.38,0.831
5,中寮,826.44,0.826
6,富貴角,826.32,0.826
7,中竹林,815.30,0.815
8,福隆,811.12,0.811
9,北斗,803.18,0.803
10,梨山,670.03,0.670

坐標系統資訊
坐標系統1,
坐標系統2,
