=== 基本統計 ===
統計項目,數值
總測站數,336
平均距離(公尺),850.12
中位數距離(公尺),850.76
最小距離(公尺),670.03
最大距離(公尺),962.81
標準差(公尺),12.98

=== 距離分類統計 ===
距離分類,測站數量,百分比
< 100公尺,0,0.0%
100-500公尺,0,0.0%
500-1000公尺,336,100.0%
1-5公里,0,0.0%
> 5公里,0,0.0%

=== 距離分位數 ===
分位數,距離(公尺)
25%,849.83
50%,850.76
75%,851.24
90%,852.13
95%,852.40
99%,872.69

=== 坐標系統組合統計 ===
組合,測站數量,百分比
TWD67 vs WGS84,335,99.7%
WGS84 vs TWD67,1,0.3%

=== 差距最大的前10個測站 ===
排名,測站名稱,坐標系統組合,距離(公尺),距離(公里)
1,甲仙,TWD67 vs WGS84,962.81,0.963
2,馬頭山,TWD67 vs WGS84,887.44,0.887
3,國五N008K,TWD67 vs WGS84,884.77,0.885
4,瑞芳,TWD67 vs WGS84,877.03,0.877
5,龍溪,TWD67 vs WGS84,864.62,0.865
6,福山,TWD67 vs WGS84,863.79,0.864
7,火燒寮,TWD67 vs WGS84,859.29,0.859
8,鹿港,TWD67 vs WGS84,858.16,0.858
9,安南,TWD67 vs WGS84,857.80,0.858
10,八德蔬果,TWD67 vs WGS84,855.43,0.855

=== 差距最小的前10個測站 ===
排名,測站名稱,坐標系統組合,距離(公尺),距離(公里)
1,梨山,WGS84 vs TWD67,670.03,0.670
2,北斗,TWD67 vs WGS84,803.18,0.803
3,福隆,TWD67 vs WGS84,811.12,0.811
4,中竹林,TWD67 vs WGS84,815.30,0.815
5,富貴角,TWD67 vs WGS84,826.32,0.826
6,中寮,TWD67 vs WGS84,826.44,0.826
7,南沙島,TWD67 vs WGS84,831.38,0.831
8,新埔工作站,TWD67 vs WGS84,836.58,0.837
9,東沙島,TWD67 vs WGS84,840.67,0.841
10,新竹,TWD67 vs WGS84,841.21,0.841
